Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.15     0.00        1     0.00     1.36  camlChecker__check_1008
  0.00      0.15     0.00        1     0.00     0.00  camlChecker__entry
  0.00      0.15     0.00        1     0.00     0.97  camlChecker__max2_1018
  0.00      0.15     0.00        1     0.00     0.00  camlDpll__entry
  0.00      0.15     0.00        1     0.00     0.00  camlDpll__getSolution_1033
  0.00      0.15     0.00        1     0.00    67.48  camlDpll__solve_1045
  0.00      0.15     0.00        1     0.00     0.00  camlDpll__to_list_1041
  0.00      0.15     0.00        1     0.00     0.00  camlFormula__Make_1238
  0.00      0.15     0.00        1     0.00     0.00  camlFormula__entry
  0.00      0.15     0.00        1     0.00     0.00  camlFormula_wl__Make_1136
  0.00      0.15     0.00        1     0.00     0.00  camlFormula_wl__entry
  0.00      0.15     0.00        1     0.00     0.00  camlFormula_wl__literalList_1045
  0.00      0.15     0.00        1     0.00     1.63  camlFormula_wl__make_1039
  0.00      0.15     0.00        1     0.00     0.00  camlLexer__entry
  0.00      0.15     0.00        1     0.00     0.00  camlLexing__entry
  0.00      0.15     0.00        1     0.00     0.00  camlLexing__from_channel_1066
  0.00      0.15     0.00        1     0.00     0.00  camlLexing__from_function_1064
  0.00      0.15     0.00        1     0.00     0.00  camlList__entry
  0.00      0.15     0.00        1     0.00     0.25  camlList__mapi_1045
  0.00      0.15     0.00        1     0.00     0.00  camlList__rev_merge_rev_1256
  0.00      0.15     0.00        1     0.00     0.00  camlList__stable_sort_1243
  0.00      0.15     0.00        1     0.00     0.00  camlLiteral__entry
  0.00      0.15     0.00        1     0.00     0.00  camlMain__add_file_1079
  0.00      0.15     0.00        1     0.00    97.38  camlMain__entry
  0.00      0.15     0.00        1     0.00    97.38  camlMain__main_1083
  0.00      0.15     0.00        1     0.00     0.00  camlParser__entry
  0.00      0.15     0.00        1     0.00     0.00  camlParser__formula_1043
  0.00      0.15     0.00        1     0.00     0.00  camlParser__fun_1050
  0.00      0.15     0.00        1     0.00     0.00  camlParser__fun_1052
  0.00      0.15     0.00        1     0.00     0.00  camlParser__fun_1060
  0.00      0.15     0.00        1     0.00     1.38  camlParsing__entry
  0.00      0.15     0.00        1     0.00    26.91  camlParsing__loop_1076
  0.00      0.15     0.00        1     0.00    26.91  camlParsing__yyparse_1071
  0.00      0.15     0.00        1     0.00     0.00  camlPervasives__entry
  0.00      0.15     0.00        1     0.00     0.00  camlPervasives__flush_all_1168
  0.00      0.15     0.00        1     0.00     0.00  camlPervasives__iter_1169
  0.00      0.15     0.00        1     0.00     0.00  camlPervasives__open_in_gen_1197
  0.00      0.15     0.00        1     0.00     0.00  camlPervasives__output_string_1174
  0.00      0.15     0.00        1     0.00     0.00  camlPrintf__entry
  0.00      0.15     0.00        1     0.00     0.00  camlSet__Make_1298
  0.00      0.15     0.00        1     0.00     0.00  camlSet__entry
  0.00      0.15     0.00        1     0.00     0.00  camlSet__fun_1869
  0.00      0.15     0.00        1     0.00     0.00  camlSigs__entry
  0.00      0.15     0.00        1     0.00     0.00  camlStack__entry
  0.00      0.15     0.00        1     0.00     0.00  camlStd_exit__entry
  0.00      0.15     0.00        1     0.00     0.00  camlString__entry
  0.00      0.15     0.00        1     0.00     0.00  camlSys__entry
  0.00      0.15     0.00        1     0.00     0.00  caml_alloc
  0.00      0.15     0.00        1     0.00     0.00  caml_alloc_array
  0.00      0.15     0.00        1     0.00     0.00  caml_alloc_table
  0.00      0.15     0.00        1     0.00     0.00  caml_convert_flag_list
  0.00      0.15     0.00        1     0.00     0.00  caml_copy_string_array
  0.00      0.15     0.00        1     0.00     0.00  caml_debugger_init
  0.00      0.15     0.00        1     0.00     0.00  caml_executable_name
  0.00      0.15     0.00        1     0.00     0.00  caml_ext_table_add
  0.00      0.15     0.00        1     0.00     0.00  caml_ext_table_init
  0.00      0.15     0.00        1     0.00     0.00  caml_finalize_channel
  0.00      0.15     0.00        1     0.00     0.00  caml_init_custom_operations
  0.00      0.15     0.00        1     0.00     0.00  caml_init_frame_descriptors
  0.00      0.15     0.00        1     0.00     0.00  caml_init_gc
  0.00      0.15     0.00        1     0.00     0.00  caml_init_ieee_floats
  0.00      0.15     0.00        1     0.00     0.00  caml_init_major_heap
  0.00      0.15     0.00        1     0.00     0.00  caml_init_signals
  0.00      0.15     0.00        1     0.00     0.00  caml_insert_global_root
  0.00      0.15     0.00        1     0.00     0.00  caml_main
  0.00      0.15     0.00        1     0.00     0.00  caml_make_free_blocks
  0.00      0.15     0.00        1     0.00     0.00  caml_ml_out_channels_list
  0.00      0.15     0.00        1     0.00     0.00  caml_ml_output
  0.00      0.15     0.00        1     0.00     0.00  caml_obj_dup
  0.00      0.15     0.00        1     0.00     0.00  caml_page_table_initialize
  0.00      0.15     0.00        1     0.00    98.76  caml_program
  0.00      0.15     0.00        1     0.00     0.00  caml_putblock
  0.00      0.15     0.00        1     0.00     0.00  caml_realloc_ref_table
  0.00      0.15     0.00        1     0.00     0.00  caml_register_global_root
  0.00      0.15     0.00        1     0.00     0.00  caml_register_named_value
  0.00      0.15     0.00        1     0.00     0.00  caml_set_minor_heap_size
  0.00      0.15     0.00        1     0.00     0.00  caml_string_notequal
  0.00      0.15     0.00        1     0.00     0.00  caml_sys_exit
  0.00      0.15     0.00        1     0.00     0.00  caml_sys_get_argv
  0.00      0.15     0.00        1     0.00     0.00  caml_sys_get_config
  0.00      0.15     0.00        1     0.00     0.00  caml_sys_init
  0.00      0.15     0.00        1     0.00     0.00  caml_sys_open
  0.00      0.15     0.00        1     0.00     0.00  do_write
  0.00      0.15     0.00        1     0.00     0.00  realloc_gray_vals
  0.00      0.15     0.00        1     0.00     0.00  unlink_channel

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2014 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 6.67% of 0.15 seconds

index % time    self  children    called     name
                0.00    0.10       1/1           caml_start_program [2]
[1]     65.8    0.00    0.10       1         caml_program [1]
                0.00    0.10       1/1           camlMain__entry [3]
                0.00    0.00       1/1           camlParsing__entry [34]
                0.00    0.00       1/1           camlPervasives__entry [67]
                0.00    0.00       1/1           camlStd_exit__entry [72]
                0.00    0.00       1/1           camlSys__entry [80]
                0.00    0.00       1/1           camlArray__entry [166]
                0.00    0.00       1/1           camlList__entry [184]
                0.00    0.00       1/1           camlChar__entry [170]
                0.00    0.00       1/1           camlString__entry [200]
                0.00    0.00       1/1           camlLexing__entry [181]
                0.00    0.00       1/1           camlSet__entry [196]
                0.00    0.00       1/1           camlStack__entry [199]
                0.00    0.00       1/1           camlBuffer__entry [169]
                0.00    0.00       1/1           camlPrintf__entry [194]
                0.00    0.00       1/1           camlArg__entry [163]
                0.00    0.00       1/1           camlChecker__entry [171]
                0.00    0.00       1/1           camlSigs__entry [198]
                0.00    0.00       1/1           camlDpll__entry [172]
                0.00    0.00       1/1           camlFormula__entry [176]
                0.00    0.00       1/1           camlFormula_wl__entry [178]
                0.00    0.00       1/1           camlParser__entry [187]
                0.00    0.00       1/1           camlLexer__entry [180]
                0.00    0.00       1/1           camlLiteral__entry [186]
-----------------------------------------------
                                                 <spontaneous>
[2]     65.8    0.00    0.10                 caml_start_program [2]
                0.00    0.10       1/1           caml_program [1]
-----------------------------------------------
                0.00    0.10       1/1           caml_program [1]
[3]     64.9    0.00    0.10       1         camlMain__entry [3]
                0.00    0.10       1/1           camlMain__main_1083 [4]
                0.00    0.00       2/2           camlDpll__Make_1057 [155]
                0.00    0.00       1/1           camlFormula__Make_1238 [175]
                0.00    0.00       1/1           camlFormula_wl__Make_1136 [177]
-----------------------------------------------
                0.00    0.10       1/1           camlMain__entry [3]
[4]     64.9    0.00    0.10       1         camlMain__main_1083 [4]
                0.00    0.07       1/1           camlDpll__solve_1045 [5]
                0.00    0.03       1/1           camlParsing__yyparse_1071 [18]
                0.00    0.00       1/1           camlFormula_wl__make_1039 [33]
                0.00    0.00       1/1           camlChecker__check_1008 [35]
                0.00    0.00       1/1           camlArg__parse_1149 [76]
                0.00    0.00       1/1           camlPervasives__open_in_gen_1197 [79]
                0.00    0.00       4/5253        caml_apply2 [103]
                0.00    0.00       1/3           caml_string_equal [154]
                0.00    0.00       1/1           caml_string_notequal [226]
                0.00    0.00       1/1           camlLexing__from_function_1064 [183]
                0.00    0.00       1/1           camlLexing__from_channel_1066 [182]
                0.00    0.00       1/1           camlParser__formula_1043 [188]
                0.00    0.00       1/1           camlDpll__getSolution_1033 [173]
                0.00    0.00       1/1           camlPervasives__output_string_1174 [193]
-----------------------------------------------
                0.00    0.07       1/1           camlMain__main_1083 [4]
[5]     45.0    0.00    0.07       1         camlDpll__solve_1045 [5]
                0.00    0.04    1023/1534        camlFormula_wl__setLiteral_1076 [6]
                0.00    0.02     512/512         camlDpll__unstack_1050 [20]
                0.00    0.00    1023/1023        camlFormula_wl__getUnitClause_1114 [53]
                0.00    0.00    1023/1131365     caml_modify [48]
                0.00    0.00    4092/4092        caml_tuplify4 [104]
                0.00    0.00    1535/1535        camlFormula_wl__isFalse_1112 [111]
                0.00    0.00    1023/5253        caml_apply2 [103]
                0.00    0.00    1023/1023        camlFormula_wl__getPureLiteral_1123 [114]
                0.00    0.00     511/511         camlFormula_wl__getFreeLiteral_1132 [115]
-----------------------------------------------
                0.00    0.02     511/1534        camlDpll__unstack_1050 [20]
                0.00    0.04    1023/1534        camlDpll__solve_1045 [5]
[6]     45.0    0.00    0.07    1534         camlFormula_wl__setLiteral_1076 [6]
                0.00    0.07    1534/1535        camlList__find_1202 [8]
                0.00    0.00    1534/1534        camlFormula_wl__remove_1082 [45]
                0.00    0.00    4602/1949122     camlLiteral__id_of_literal_1042 [31]
                0.00    0.00    3068/1131365     caml_modify [48]
                0.00    0.00    4602/1064034     camlLiteral__neg_1039 [85]
                0.00    0.00    1534/1535        camlList__find_all_1200 [112]
                0.00    0.00    1534/1538        camlList__rev_append_1029 [109]
                0.00    0.00    1534/1535        camlList__fun_1439 [113]
-----------------------------------------------
                0.00    0.07  423968/423968      camlList__find_1202 [8]
[7]     44.9    0.00    0.07  423968         camlFormula_wl__update_1098 [7]
                0.00    0.04  423968/423968      camlFormula_wl__aux_1094 [14]
                0.00    0.02  423968/1336097     caml_equal [10]
                0.00    0.00  838720/1949122     camlLiteral__id_of_literal_1042 [31]
                0.00    0.00  825408/1131365     caml_modify [48]
                0.00    0.00  423968/423968      camlFormula_wl__find_1089 [86]
                0.00    0.00    3072/1064034     camlLiteral__neg_1039 [85]
-----------------------------------------------
                0.00    0.00       1/1535        camlChecker__check_1008 [35]
                0.00    0.07    1534/1535        camlFormula_wl__setLiteral_1076 [6]
[8]     44.9    0.00    0.07    1535         camlList__find_1202 [8]
                0.00    0.07  423968/423968      camlFormula_wl__update_1098 [7]
                0.00    0.00    2048/2048        camlChecker__fun_1042 [105]
-----------------------------------------------
                0.00    0.00   22529/1358626     caml_greaterequal [37]
                0.05    0.01 1336097/1358626     caml_equal [10]
[9]     39.1    0.05    0.01 1358626         compare_val [9]
                0.01    0.00 3520130/4036159     caml_page_table_lookup [26]
                0.00    0.00       2/22533       caml_string_length [97]
-----------------------------------------------
                0.00    0.00       1/1336097     camlArg__assoc3_1055 [78]
                0.00    0.00    2300/1336097     camlFormula_wl__remove_1082 [45]
